id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
ark://27927/phx504rm6fh,A driver-adaptive range policy for adaptive cruise control,"Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering",2006,10.1243/09544070JAUTO75,article,portico,2006-03-01,3,220,http://doi.org/10.1243/09544070JAUTO75,Donghoon Han; Kyongsu Yi,SAGE Publications,eng,321,334,,6499,14,unigram; bigram; trigram
ark://27927/phx7w9f842,On the Dynamics of Quasi‐Twodimensional Correlated Electron Systems in a Strong Transverse Magnetic Field,Fortschritte der Physik,1991,10.1002/prop.2190390504,article,portico,1991-01-01,5‐6,39,http://doi.org/10.1002/prop.2190390504,R. Nolte; R. Keiper,"John Wiley & Sons, Inc.",eng,453,472,,7633,20,unigram; bigram; trigram
ark://27927/pbd6d7bs6g,Index,Ends of ComplexesEnds of Complexes,2009,,chapter,portico,2009-01-01,,,,Bruce Hughes; Andrew Ranicki,Cambridge University Press,eng,351,353,,1020,3,unigram; bigram; trigram
ark://27927/phx6cqs3kk5,Experimental bifurcation control of a parametric pendulum,Journal of Vibration & Control,2017,10.1177/1077546315613237,article,portico,2017-08-01,14,23,http://doi.org/10.1177/1077546315613237,Marcelo A Savi; Vahid Vaziri; Ekaterina Pavlovskaia; Aline S De Paula; Marian Wiercigroch,SAGE Publications,eng,2256,2268,,5870,13,unigram; bigram; trigram
ark://27927/pbd1phr6v92,Index,Complexity Science,2009,,chapter,portico,2009-01-01,,,,Robin Ball; Vassili Kolokoltsov; Robert S. MacKay,Cambridge University Press,eng,441,445,,1254,5,unigram; bigram; trigram
http://www.jstor.org/stable/2047935,Volume Information,Proceedings of the American Mathematical Society,1990,,article,jstor,1990-04-01,4,108,http://www.jstor.org/stable/2047935,,American Mathematical Society,eng,,,,5212,13,unigram; bigram; trigram
ark://27927/pgk1ggf5rqk,Examples of Lorenz-like Attractors in Hénon-like Maps,Mathematical Modelling of Natural Phenomena,2013,10.1051/mmnp/20138504,article,portico,2013-09-17,5,8,http://doi.org/10.1051/mmnp/20138504,S.V. Gonchenko; M. Zaks; D.V. Turaev; I.I. Ovsyannikov; V. Vougalter; L. Lerman; A.S. Gonchenko; D. Turaev,EDP Sciences,eng,48,70,,13412,23,unigram; bigram; trigram
ark://27927/phz97r0mc0v,On Calculating the Packing Efficiency for Embedding Hexagonal and Dodecagonal Sensors in a Circular Container,Mathematical Problems in Engineering,2019,10.1155/2019/9624751,article,portico,2019-07-10,null,2019,http://doi.org/10.1155/2019/9624751,Arijana Burazin Mišura; Julije Ožegović; Marina Prvan; Vyacheslav Kalashnikov,Hindawi,eng,,,,10667,16,unigram; bigram; trigram
ark://27927/phx4f2c3xk5,Many‐particle Hardy inequalities,Journal of the London Mathematical Society,2008,10.1112/jlms/jdm091,article,portico,2008-02-01,1,77,http://doi.org/10.1112/jlms/jdm091,Tidblom J.; Hoffmann-Ostenhof M.; Laptev A.; Hoffmann-Ostenhof T.,"John Wiley & Sons, Inc.",eng,99,115,,6112,17,unigram; bigram; trigram
ark://27927/pbd69s4jj2,References,Hilbert transformsHilbert transforms,2009,10.1017/CBO9780511735271.013,chapter,portico,2009-01-01,,,https://doi.org/10.1017/CBO9780511735271.013,Frederick W. King,Cambridge University Press,eng,547,625,,30576,79,unigram; bigram; trigram
