id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
ark://27927/phzd47503dk,Rational discrete first degree cohomology for totally disconnected locally compact groups,Mathematical Proceedings of the Cambridge Philosophical Society,2018,10.1017/S0305004118000762,article,portico,2018-10-12,2,168,http://doi.org/10.1017/S0305004118000762,ILARIA CASTELLANO,Cambridge University Press,eng,361,377,,8325,17,unigram; bigram; trigram
ark://27927/phx4fd9znh7,The Tits Alternative for Cat(0) Cubical Complexes,Bulletin of the London Mathematical Society,2005,10.1112/S002460930500456X,article,portico,2005-10-01,5,37,http://doi.org/10.1112/S002460930500456X,Wise Daniel T.; Sageev Michah,"John Wiley & Sons, Inc.",eng,706,710,,2537,5,unigram; bigram; trigram
http://www.jstor.org/stable/3844991,Realizability of Modules over Tate Cohomology,Transactions of the American Mathematical Society,2004,,article,jstor,2004-09-01,9,356,http://www.jstor.org/stable/3844991,David Benson; Henning Krause; Stefan Schwede,American Mathematical Society,eng,3621,3668,,22397,48,unigram; bigram; trigram
ark://27927/phzq1x9bcz,Back Matter,Bulletin of the London Mathematical Society,2013,10.1112/j.1469-2120.2013.tb00513.x,article,portico,2013-04-01,2,45,http://doi.org/10.1112/j.1469-2120.2013.tb00513.x,,"John Wiley & Sons, Inc.",eng,n/a,n/a,,1806,2,unigram; bigram; trigram
http://www.jstor.org/stable/23513434,LEVELS OF KNOTTING OF SPATIAL HANDLEBODIES,Transactions of the American Mathematical Society,2013,,article,jstor,2013-04-01,4,365,http://www.jstor.org/stable/23513434,R. BENEDETTI; R. FRIGERIO,American Mathematical Society,eng,2099,2167,,34007,69,unigram; bigram; trigram
ark://27927/phx4gtg6xjw,Sol Geometry Groups are not Asynchronously Automatic,Proceedings of the London Mathematical Society,2001,10.1112/plms/83.1.93,article,portico,2001-07-01,1,83,http://doi.org/10.1112/plms/83.1.93,Brady Noel,"John Wiley & Sons, Inc.",eng,93,119,,12371,27,unigram; bigram; trigram
http://www.jstor.org/stable/118602,Incoherent Negatively Curved Groups,Proceedings of the American Mathematical Society,1998,,article,jstor,1998-04-01,4,126,http://www.jstor.org/stable/118602,Daniel T. Wise,American Mathematical Society,eng,957,964,,3436,8,unigram; bigram; trigram
http://www.jstor.org/stable/44240275,Front Matter,The Rocky Mountain Journal of Mathematics,2013,,article,jstor,2013-01-01,6,43,http://www.jstor.org/stable/44240275,,Rocky Mountain Mathematics Consortium,eng,,,,656,10,unigram; bigram; trigram
http://www.jstor.org/stable/43302882,RANDOM GROUPS CONTAIN SURFACE SUBGROUPS,Journal of the American Mathematical Society,2015,,article,jstor,2015-04-01,2,28,http://www.jstor.org/stable/43302882,DANNY CALEGARI; ALDEN WALKER,American Mathematical Society,eng,383,419,,19409,37,unigram; bigram; trigram
ark://27927/pgj46p9762,MTK volume 61 Issue 1 Cover and Front matter,Mathematika,2015,10.1112/S0025579315000017,article,portico,2015-02-06,1,61,http://doi.org/10.1112/S0025579315000017,,Cambridge University Press,eng,f1,f2,,1014,2,unigram; bigram; trigram
ark://27927/phzcq6shfnm,MTK volume 62 Issue 2 Cover and Front matter,Mathematika,2016,10.1112/S0025579315000455,article,portico,2016-01-01,2,62,http://doi.org/10.1112/S0025579315000455,,"John Wiley & Sons, Inc.",eng,f1,f2,,371,2,unigram; bigram; trigram
ark://27927/pbd6d789w5,Frontmatter,Non-Commutative Localization in Algebra and TopologyNon-Commutative Localization in Algebra and Topology,2009,,chapter,portico,2009-01-01,,,,Andrew Ranicki,Cambridge University Press,eng,i,iv,,2068,4,unigram; bigram; trigram
http://www.jstor.org/stable/24507099,SMOOTH GLUING OF GROUP ACTIONS AND APPLICATIONS,Proceedings of the American Mathematical Society,2015,,article,jstor,2015-01-01,1,143,http://www.jstor.org/stable/24507099,KIRAN PARKHE,American Mathematical Society,eng,203,212,,4556,10,unigram; bigram; trigram
ark://27927/pbd6g0c4dq,On Tychonoff Groups,Geometry and Cohomology in Group TheoryGeometry and Cohomology in Group Theory,2009,10.1017/CBO9780511666131.012,chapter,portico,2009-01-01,,,https://doi.org/10.1017/CBO9780511666131.012,Peter H. Kropholler; Graham A. Niblo; Ralph Stöhr,Cambridge University Press,eng,170,187,,6421,18,unigram; bigram; trigram
ark://27927/pgjhwzzcth,Collisions at infinity in hyperbolic manifolds,Mathematical Proceedings of the Cambridge Philosophical Society,2013,10.1017/S0305004113000364,article,portico,2013-07-09,3,155,http://doi.org/10.1017/S0305004113000364,MATTHEW STOVER; D. B. MCREYNOLDS; ALAN W. REID,Cambridge University Press,eng,459,463,,2582,5,unigram; bigram; trigram
ark://27927/phz9q2dcbrh,Issue Information,Proceedings of the London Mathematical Society,2019,10.1112/plms.12170,article,portico,2019-09-01,3,119,http://doi.org/10.1112/plms.12170,,"John Wiley & Sons, Inc.",eng,NA,NA,,3870,4,unigram; bigram; trigram
ark://27927/pbd1r34rz7z,The rational subset membership problem for groups: a survey,Groups St Andrews 2013,2015,10.1017/CBO9781316227343.024,chapter,portico,2015-01-01,,,https://doi.org/10.1017/CBO9781316227343.024,C. M. Campbell; M. R. Quick; E. F. Robertson; C. M. Roney-Dougal,Cambridge University Press,eng,368,389,,11039,22,unigram; bigram; trigram
ark://27927/phx4f18f7wv,The Homological Invariants for Metabelian Groups of Finite Prüfer Rank: A Proof of the Σm‐Conjecture,Proceedings of the London Mathematical Society,1996,10.1112/plms/s3-72.2.385,article,portico,1996-03-01,2,"Series 3, 72",http://doi.org/10.1112/plms/s3-72.2.385,Meinert Holger,"John Wiley & Sons, Inc.",eng,385,424,,20373,40,unigram; bigram; trigram
ark://27927/phz1dq0pp06,Issue Information,Journal of the London Mathematical Society,2018,10.1112/jlms.12076,article,portico,2018-06-01,3,97,http://doi.org/10.1112/jlms.12076,,"John Wiley & Sons, Inc.",eng,NA,NA,,3914,4,unigram; bigram; trigram
ark://27927/phx4f5h0279,OE and W* superrigidity results for actions by surface braid groups,Proceedings of the London Mathematical Society,2015,10.1112/plms/pdv058,article,portico,2015-12-01,6,111,http://doi.org/10.1112/plms/pdv058,Kida Yoshikata; Chifan Ionut,"John Wiley & Sons, Inc.",eng,1431,1470,,26558,40,unigram; bigram; trigram
ark://27927/phzq34w1g1,Back Matter,Journal of the London Mathematical Society,2011,10.1112/j.1469-7750.2011.tb09275.x,article,portico,2011-06-01,3,83,http://doi.org/10.1112/j.1469-7750.2011.tb09275.x,,"John Wiley & Sons, Inc.",eng,n/a,n/a,,4682,6,unigram; bigram; trigram
ark://27927/phzq884880,Front Matter,Proceedings of the London Mathematical Society,2013,10.1112/j.1460-244X.2013.tb00660.x,article,portico,2013-01-01,1,106,http://doi.org/10.1112/j.1460-244X.2013.tb00660.x,,"John Wiley & Sons, Inc.",eng,n/a,n/a,,1587,2,unigram; bigram; trigram
ark://27927/phx4fdbxcmq,Global aspects of ergodic group actions (Mathematical Surveys and Monographs 160),Bulletin of the London Mathematical Society,2011,10.1112/blms/bdr065,article,portico,2011-10-01,5,43,http://doi.org/10.1112/blms/bdr065,Rosendal Christian,"John Wiley & Sons, Inc.",eng,1026,1028,,1643,3,unigram; bigram; trigram
ark://27927/phx4djzq66z,Hyperbolic surface subgroups of one‐ended doubles of free groups,Journal of Topology,2014,10.1112/jtopol/jtu004,article,portico,2014-12-01,4,7,http://doi.org/10.1112/jtopol/jtu004,Kim Sang-hyun; Oum Sang-il,"John Wiley & Sons, Inc.",eng,927,947,,12038,21,unigram; bigram; trigram
