,id
0,ark://27927/phx504rm6fh
1,ark://27927/phx7w9f842
3,ark://27927/phx6cqs3kk5
6,ark://27927/pgk1ggf5rqk
7,ark://27927/phz97r0mc0v
8,ark://27927/phx4f2c3xk5
10,ark://27927/pgh1fxtt9jk
11,http://www.jstor.org/stable/119758
12,http://www.jstor.org/stable/44238161
13,ark://27927/phz6cjnhdfm
14,ark://27927/pgj2xkw536
16,http://www.jstor.org/stable/20520625
17,ark://27927/phzcq2f6scw
18,http://www.jstor.org/stable/2373198
19,ark://27927/pgjc469zg6
20,ark://27927/phxm6s5gx8
21,http://www.jstor.org/stable/1968911
22,ark://27927/pgk3jtkft2c
23,ark://27927/phz6g7cts09
24,ark://27927/phz8b8qph98
25,http://www.jstor.org/stable/1194004
26,http://www.jstor.org/stable/52167
27,ark://27927/phxb1x3ztk
28,ark://27927/pgk1q6bz42w
29,ark://27927/phz6pv4kd3g
32,ark://27927/phzf1nmbj7c
33,ark://27927/pghq86kzn1
34,ark://27927/pgj2z7s7k1v
35,ark://27927/pgk2n6jkwbn
36,ark://27927/phzgkvwqx3n
38,ark://27927/pgg1rvbgzsf
39,ark://27927/pf1jzjfhf7
40,ark://27927/phx7vg9k4j4
41,ark://27927/pgg1bjw0qth
42,ark://27927/phz9f57mdgg
43,ark://27927/phx1rzk5t5s
44,ark://27927/phzgdswpdxx
45,http://www.jstor.org/stable/44236564
46,http://www.jstor.org/stable/40784323
48,ark://27927/pgg2hvtdkbk
49,ark://27927/phxdxzk7v6
50,ark://27927/phx4m99c3f9
51,ark://27927/pbd6fr0p7n
52,http://www.jstor.org/stable/2159860
53,ark://27927/pgh1sw609xc
54,ark://27927/phxbhx5kx1
55,ark://27927/pgg40hndztm
57,ark://27927/pgg22kr5hzz
58,http://www.jstor.org/stable/44236083
61,ark://27927/phx5qg1t779
62,http://www.jstor.org/stable/29783201
63,ark://27927/phx4bxz48rd
64,ark://27927/pgh1307f3fx
66,ark://27927/phx4zv3mbz9
67,ark://27927/phxfj8vdtk
68,http://www.jstor.org/stable/44236668
69,ark://27927/pgj21spr6zb
70,ark://27927/pgj21tjs47t
71,ark://27927/phx5d0f15cj
72,http://www.jstor.org/stable/43744542
74,http://www.jstor.org/stable/41524922
75,ark://27927/pgk1q68tw
76,http://www.jstor.org/stable/2045015
77,ark://27927/pgg1rvbcrj1
78,http://www.jstor.org/stable/1996913
79,http://www.jstor.org/stable/1998371
80,ark://27927/phx4f1vvz1b
81,ark://27927/pgj1m9qn63v
82,ark://27927/phz5pqm1786
83,http://www.jstor.org/stable/26362241
84,ark://27927/phw9j7b2wz
85,http://www.jstor.org/stable/43749482
86,ark://27927/pbd1kwkdt4v
87,ark://27927/pbd67hc5pw
89,ark://27927/phw1hp66fpn
90,ark://27927/phx64c6vv27
91,ark://27927/phx191sgwt7
92,ark://27927/phw25fkmn6d
93,ark://27927/pbd6dvns1c
94,ark://27927/pgg1dkkhjp3
95,ark://27927/pbd98ksjn9
96,ark://27927/phzfbqwm7j
98,ark://27927/pc05n186n
100,ark://27927/phz6pv6n95w
101,ark://27927/phz7qmvdvnv
102,http://www.jstor.org/stable/54348
103,http://www.jstor.org/stable/1996169
104,ark://27927/phzbv652t16
105,ark://27927/pbd6fqvg82
106,ark://27927/phx3nhp2jxv
